job_title|company_name|location|salary|duties|date_published|

Drilling Rig Jobs - Canada|Precision Drilling|Canada|$33.00 - $46.50 an hour|**Willing to train for entry level positions**.- Waived waiting period for single/family extended health and dental benefits.|Posted30+ days ago
newGeneral Labourer Canada- Track Maintenance|Loram Maintenance of Way|Beaver Creek, YT+1 location|$20 an hour|In this field-based position, we are looking for people with technical skills in mechanical, electrical, hydraulic or machine operations.|Posted6 days ago
newPostal Clerk|Canada Post Corp|Whitehorse, YT|Null|Null|Null
General Labourer|SGS|Whitehorse, YT|Null|Null|Null
newTown Driver (12.15.2021)|North 60 Petro|Whitehorse, YT|$33.51 an hour|Must have a current class 1 or 3 Driver’s license and have a good driving record.Individual will aid in the daily operations of the business regarding…|Posted4 days ago
Camp Maintenance Manager|Summit Camps|Mayo, YT|$350 a day|Responsible for ensuring the continued operation and up to date maintenance of the water system, waste water system, electrical, propane, heating and air…|Posted9 days ago
kitchen helper|Lucky Dragon Restaurant|Haines Junction, YT|$25 - $27 an hour|Serve customers at counters or buffet tables.Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.|Posted30+ days ago
Light Duty Cleaner/Houseman/woman - NVDLP (NOC 6731)|Northern Vision Development LP|Whitehorse, YT|$18 an hour|Address customers' complaints or concerns;We currently have openings in our housekeeping department where you could be cleaning rooms, doing laundry, or…|Posted30+ days ago
On-Call Labourers|Kwanlin Dün First Nation|Whitehorse, YT|$22.51 - $30.68 an hour|The work typically entails site preparation, maintenance, clean-up, snow removal, minor construction and repairs of interior and exterior home and building…|Posted9 days ago
kitchen helper|Mimi's Restaurant|Whitehorse, YT|$20.50 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 9 kg (20 lbs).|Posted25 days ago
newlight duty cleaner|Arian Janitorial Services Ltd.|Whitehorse, YT|$18 an hour|Address customers' complaints or concerns.Vacuum carpeting, area rugs, draperies and upholstered furniture.Handle and report lost and found items.|PostedToday
courier driver|More Than Shipping Inc.|Whitehorse, YT|$20 an hour|Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle.Record trip information such as vehicle mileage, fuel costs and any…|Posted30+ days ago
Dozer Operator|M2 Gold Mines Limited|Dawson City, YT|Null|Null|Null
newkitchen helper|46238 Yukon Inc|Whitehorse, YT|$16 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted3 days ago
driver, truck|Dragon Construction Ltd.|Watson Lake, YT|$30 an hour|Willing to travel for extended periods.|Posted30+ days ago
newPart & Inventory Manager|New Age Drilling Solutions|Whitehorse, YT|$35 - $40 an hour|Must have a valid Drivers License, provide a Drivers Abstract and have valid proof of vaccination.Must be willing to support New Age Drilling’s Occupational…|Posted5 days ago
kitchen helper|Whitehorse Restaurant Limited Partnership|Whitehorse, YT|$16.63 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted10 days ago
newGeneral Labour - Entry Level Technician|ALS Group|Whitehorse, YT|$21.60 an hour|For the employee referral bonus program this position is eligible for a Level B bonus award.Working with light industrial equipment to crush rock and mining…|Posted3 days ago
newHome Support Worker|Yukon Government|Whitehorse, YT+1 location|$30.44 - $35.20 an hour|Conditions of Employment: TB Screening, Vulnerable Sector RCMP Security clearance, CPR level C, Food Safe, WHMIS 2015, and a valid Yukon class 5 driver’s…|Posted3 days ago
Security Guard (AOC)|CHIEF ISAAC|Dawson City, YT|$23 an hour|Valid Yukon Security Guards License (we help obtain this license).Valid Class 5 Driver’s license.Facilities/events safe and protected.|Posted30+ days ago
construction labourer and helper|Northern Susatainable Developments ltd|Whitehorse, YT|$25 an hour|Up to 23 kg (50 lbs).Remove rubble and other debris at construction sites.Load, unload and transport construction materials.|Posted30+ days ago
building services worker|Carmacks Hotel Limited|Carmacks, YT|$25 an hour|Wash windows, interior walls and ceilings.Perform other routine maintenance jobs such as painting and drywall repair.Up to 45 kg (100 lbs).|Posted30+ days ago
hotel cleaner|13601 YUKON INC|Whitehorse, YT|$18 an hour|Attend to guests' requests for extra supplies or other items.Wash windows, walls and ceilings.Make beds and change sheets.Sweep, mop, wash and polish floors.|Posted9 days ago
customer service agent|All-West Glass|Whitehorse, YT|$41,000 - $54,000 a year|Answer inquiries and provide information to customers.Issue receipts and other forms.Arrange for refunds and credits.|Posted30+ days ago
kitchen helper|Chamco Enterprises Ltd.|Whitehorse, YT|$16.63 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted30+ days ago
hotel managing supervisor|Dawson City Hotels Ltd.|Dawson, YT|$20 - $30 an hour|Ensure smooth operation of computer systems, equipment and machinery, and arrange for maintenance and repair work.Assist clients/guests with special needs.|Posted20 days ago
General Labourer|CHIEF ISAAC|Dawson City, YT|Null|Null|Null
Light Duty Cleaner (NOC 6731)|JGV Services Incorporated|Watson Lake, YT+1 location|$18 an hour|Duties: Sweep, mop, wash, and polish floors; Dust furniture; Vacuum carpeting, area rugs, draperies and upholstered furniture; Make beds and clean sheets for…|Posted30+ days ago
newConstruction Team|536554 Yukon Inc.|Whitehorse, YT|$100,000 - $250,000 a year|All salaries and allowance will be allocated according to the project contract and also the project completion.|Posted6 days ago
construction helper|Philcan Contractor LTD|Whitehorse, YT|$25 an hour|Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades.Level earth to fine grade specifications.Up to 9 kg (20 lbs).|Posted24 days ago
newConstruction Team|536554 Yukon Inc.|Whitehorse, YT|$100,000 - $250,000 a year|All salaries and allowance will be allocated according to the project contract and also the project completion.|Posted6 days ago
construction helper|Philcan Contractor LTD|Whitehorse, YT|$25 an hour|Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades.Level earth to fine grade specifications.Up to 9 kg (20 lbs).|Posted24 days ago
Food Production Coordinator|Anne's Dumplings Yukon|Whitehorse, YT|$20 - $25 an hour|Anne's Dumplings Yukon, is hiring for a full time food production coordinator to start in Jan/ Feb 2022.Salary negotiable depending on experience.|Posted12 days ago
kitchen helper|12292 yukon inc|Faro, YT|$16.65 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.|Posted17 days ago
Kitchen Helper (NOC:6711)|T & D Investments Corp. o/a Ricky's All Day Grill|Whitehorse, YT|$16 an hour|No degree, certificate or diploma.Wash, peel and cut vegetables and fruit, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other…|Posted20 days ago
cleaner, light duty|Downtown Hotel|Dawson, YT|$18 an hour|Address customers' complaints or concerns.Attend to guests' requests for extra supplies or other items.Disinfect operating rooms and other areas.|Posted30+ days ago
Hotel Managing Supervisor|Eldorado Hotel|Dawson City, YT|$20 - $30 an hour|Balance cash and complete balance sheets, cash reports and related forms.Follow emergency and safety procedures, clerical duties, assist clients/guests with…|Posted20 days ago
newkitchen helper|Heather's Snack Haven|Whitehorse, YT|$17 an hour|Serve customers at counters or buffet tables.Handle and store cleaning products.Prepare, heat and finish simple food items.Remove kitchen garbage and trash.|Posted3 days ago
newAdministrative Assistant|Yukon Government|Whitehorse, YT+1 location|$57,466 - $66,426 a year|This includes answering client inquiries, scheduling appointments, maintaining records, taking/recording payments, and performing administrative, reception, and…|Posted6 days ago
Courier Driver|PNW Deliveries|Whitehorse, YT|$21 an hour|Uphold the PNW image in all dealings with customers and while driving company vehicles.Greet customers in a friendly and enthusiastic manner and look after…|Posted30+ days ago
Cleaning Attendant|Yukon Government|Pelly Crossing, YT|$25.48 - $29.40 an hour|Employees at Highways and Public Works are responsible for ensuring safe and efficient public highways, airstrips, buildings, and information systems.|Posted30+ days ago
Kitchen Helper|836691 Yukon Inc|Whitehorse, YT|$21 an hour|Receive, unpack, and store supplies in refrigerators, freezers, cupboards and other areas.Clean and sanitize kitchen including work surfaces, cupboards,…|Posted30+ days ago
newCarpenter & Carpenter Apprentice|NGC Builders|Whitehorse, YT|$20 - $40 an hour|To be determined based on skills, accreditation and experience.|Posted3 days ago
light duty cleaner|Diamond Cleaning|Whitehorse, YT|$18 an hour|Address customers' complaints or concerns.Attend to guests' requests for extra supplies or other items.Clean changing rooms and showers.|Posted12 days ago
kitchen helper|Northern Vision Development LP|Whitehorse, YT|$16.63 an hour|Serve customers at counters or buffet tables.Handle and store cleaning products.Use manual and electrical appliances to clean, peel, slice and trim foodstuffs…|Posted30+ days ago
newHealthy Babies, Healthy Futures Program Coordinator|Victoria Faulkner Women's Centre|Whitehorse, YT|$28 an hour|Responsible for program delivery using a community development, participant centred approach - which builds and strengthens participants and fosters social…|Posted6 days ago
Kitchen helper|Tony's Pasta & Seafood House|Whitehorse, YT|$16.63 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 9 kg (20 lbs).|Posted30+ days ago
Laboratory Assistant|Yukon Hospital Corporation|Whitehorse, YT|$32.42 - $41.02 an hour|The successful candidate will have certification as a Medical Laboratory Assistant with an accredited institution with practical experience in a medical…|Posted30+ days ago
newSales Associate (Part-time)|Yukon Health and Herbal|Whitehorse, YT|$18 an hour|All customers are required to wear masks, and we sanitize regularly.Yukon Health and Herbal is looking for a part time/casual worker to help assist when full…|PostedToday
Hotel Front Desk (Part-time / Full-time)|Canada Hotel and Hospitality Group Ltd.|Whitehorse, YT|$16 - $18 an hour|Student workers or holiday working visas.You may earn extra bonus in the peak seasons.No experience, you are willing to be trained.|Posted30+ days ago
kitchen helper|asahi ya japanese restaurant inc|Whitehorse, YT|$16.65 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Wash, peel and cut vegetables and fruit.|Posted30+ days ago
room attendant|Big Horn Hotel|Watson Lake, YT|$18.10 an hour|Vacuum carpeting, area rugs, draperies and upholstered furniture.Pick up debris and empty trash containers.Distribute clean towels and toiletries.|Posted30+ days ago
Food And beverage Server NOC# 6513|Carmacks Hotel Limited|Carmacks, YT|$16 an hour|Present bills to customers and accept payment in cash, credit or debit cards, or room billings, Describe menu items including daily specials for customers,…|Posted14 days ago
Food Counter Attendant|Whitehorse APC Pie Inc. o/a Dominos Pizza #10925 –...|Whitehorse, YT|$16.63 an hour|Greet, welcome and take customers’ orders; receive cash and tenders changes.Secondary (high) school graduation certificate.Job Types: Full-time, Permanent.|Posted9 days ago
Merchandising Store Associate|Walmart Canada|Whitehorse, YT|Null|Null|Null
Kitchen Helper|Boston Pizza International, Inc.|Whitehorse, YT|Null|Null|Null
Customer Service Agent|Jazz Aviation LP|Whitehorse, YT|$18.57 - $19.32 an hour|Provide outstanding customer service answering general inquiries at the airport.Perform duties in accordance with established policies and procedures while…|Posted30+ days ago
newSnow Team Member|Gray Management Services|Whitehorse, YT|$20 - $24 an hour|People wanting to make some extra cash.Part time or shift workers.Start between 5 and 6 am in the morning.Blast the snow off of sidewalks and walkways, with…|Posted5 days ago
clothing salesperson|Urban Trend|Whitehorse, YT|$17 an hour|Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment.Prepare merchandise for purchase, rental or lease.|Posted30+ days ago
Communications Officer|Kwanlin Dün First Nation|Whitehorse, YT|$33.69 - $46.40 an hour|Coursework or experience in one or more of the following: journalism, professional writing, media relations, advertising, publishing, multi-media production …|Posted9 days ago
clothing salesperson|Urban Trend|Whitehorse, YT|$17 an hour|Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment.Prepare merchandise for purchase, rental or lease.|Posted30+ days ago
Communications Officer|Kwanlin Dün First Nation|Whitehorse, YT|$33.69 - $46.40 an hour|Coursework or experience in one or more of the following: journalism, professional writing, media relations, advertising, publishing, multi-media production …|Posted9 days ago
newOffice Administrative Assistant (NOC 1241)|Estrada & Tan|Whitehorse, YT|$27.88 an hour|Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years.Type and proofread correspondence, forms and other…|Posted5 days ago
kitchen helper|Earl's Restaurant (Whitehorse) Ltd.|Whitehorse, YT|$16.63 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted30+ days ago
Kitchen Helper|Gravy train|Whitehorse, YT|$16.50 - $18.00 an hour|A busy and fun concession by winter and food truck in summer is seeking a part time helper for Sunday afternoons, and possible other shifts until March 31.|Posted30+ days ago
